,Make,Model,Year,Distance,Engine_capacity(cm3),Price(euro),Vehicle_age,Distance_per_age,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,Distance_per_year,Vehicle_age_sq,Log_Distance,Log_Vehicle_age,Engine_sq,Log_Engine,Age_x_Distance,Age_x_Engine,Distance_x_Engine,Distance_per_engine,Engine_per_age
165,0.08303330333033303,0.029670824225279672,2008,245000,1500,3600,18,13611,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,12894.736842105263,324,12.409017571151187,2.9444389791664403,2250000,7.313886831633462,4410000,27000,367500000,163.22451698867422,78.94736842105263
166,0.031985341391281986,0.006847113282756847,1999,290000,1500,1800,27,10741,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10357.142857142857,729,12.577639650232573,3.332204510175204,2250000,7.313886831633462,7830000,40500,435000000,193.2045303131246,53.57142857142857
167,0.038253825382538256,0.009193776520509194,2014,120000,2000,12000,12,10000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9230.76923076923,144,11.695255355062795,2.5649493574615367,4000000,7.601402334583733,1440000,24000,240000000,59.97001499250375,153.84615384615384
168,0.10084222707985084,0.013437057991513438,2004,230000,2000,5000,22,10455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10000.0,484,12.345838935721968,3.1354942159291497,4000000,7.601402334583733,5060000,44000,460000000,114.94252873563218,86.95652173913044
169,0.08303330333033303,0.000867943937250868,2007,211000,1400,2900,19,11105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10550.0,361,12.259618151783465,2.995732273553991,1960000,7.244941546337007,4009000,26600,295400000,150.60670949321914,70.0
170,0.04162916291629163,0.011765462260511766,2012,166700,2000,10200,14,11907,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,11113.333333333334,196,12.023957067521133,2.70805020110221,4000000,7.601402334583733,2333800,28000,333400000,83.30834582708646,133.33333333333334
172,0.008936607946508936,0.0038575286100038576,2014,81700,1800,12450,12,6808,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,6284.615384615385,144,11.310821520675269,2.5649493574615367,3240000,7.496097345175956,980400,21600,147060000,45.363686840644085,138.46153846153845
173,0.10084222707985084,0.021023530924521024,2013,142865,1400,8700,13,10990,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,10204.642857142857,169,11.86966240698704,2.6390573296152584,1960000,7.244941546337007,1857245,18200,200011000,101.97359029264811,100.0
174,0.016362350520766362,0.0022502250225022503,2007,135865,1400,1500,19,7151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6793.25,361,11.819424384879214,2.995732273553991,1960000,7.244941546337007,2581435,26600,190211000,96.97715917201998,70.0
175,0.08303330333033303,0.012504821910762505,2013,181000,1500,7000,13,13923,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12928.57142857143,169,12.10625783509458,2.6390573296152584,2250000,7.313886831633462,2353000,19500,271500000,120.58627581612258,107.14285714285714
